Band start [cm-1],Band end [cm-1],Type,Information,Description,Reference
2850,2930,org,"Organic matter, alkyls","Organic matter, Alkyl-CH2","Soriano-Disla et al., 2014"
2851,2851,org,"Lipids, aliphatic",Lipids: Aliphatic CH2 (CH stretching),"Cécillon et al., 2012"
2851,2851,org,Organic matter,C-H stretching of organic matter,"Le Guillou et al., 2015"
2870,2930,org,CH,C-H stretching,"Calderón et al., 2013"
2900,2940,org,Aliphates,"Aliphatic CH3, CH2 stretching","Asgari et al., 2020"
2916,2926,org,"Lipids, aliphatic",Lipids: Aliphatic CH2 (CH stretching),"Cécillon et al., 2012"
2918,2925,org,"Proteins, aliphates",Protein: Aliphatic CH2,"Cécillon et al., 2012"
2920,2920,org,Aliphates,Aliphatic C-H of aliphatic methyl and methylene groups,"Haberhauer et al., 1998"
2920,2920,org,"Aliphates, humic acids","Aliphatic C-H stretch of carboxylic acids, humic acids and humin","Grinand et al., 2012"
2922,2922,org,"Aliphates, humic acids",Aliphatic CH2-CH stretching,"Cécillon et al., 2012"
2925,2925,org,Aliphates,C-H aliphatic stretch,"Jović et al., 2019"
2950,3390,org,Organic C-H,C-H stretching in organic matter,"Le Guillou et al., 2015"
3042,3107,org,"Aryl-H, C=C","Aryl-H, R2C=CH2, R2C=CHR","Tinti et al., 2015"
3100,3100,min,Fe oxyhydroxides,Iron oxyhydroxides,"Soriano-Disla et al., 2014"
3300,3400,min,Clay minerals,"Clay minerals, Smectite and Illite","Soriano-Disla et al., 2014"
3300,3300,water,Water,Water,"Margenot et al., 2016"
3320,3440,org,"OH, NH","O-H and N-H stretching, H-bonded OH","Tinti et al., 2015"
3398,3398,min,Clay minerals,"OH-stretching in clays (Kaolinite, Smectite)","Jović et al., 2019"
3400,3400,org,OH,Stretching of bound and unbound O-H groups,"Haberhauer et al., 1998"
3400,3400,org,"OH, NH","O-H stretching, N-H stretching","Calderón et al., 2013"
3400,3750,min,Phyllosilicates,Phyllosilicate hydroxyl O-H stretching,"Margenot et al., 2016"
3430,3430,min,OH-strechting,"OH-stretching of H-bonded water, cation polarisation dependent strength","Tinti et al., 2015"
3460,3525,min,Gibbsite,O-H stretching of Gibbsite,"Tinti et al., 2015"
